study_id,country/setting,line_or_state,mean_utility,se_or_ci,instrument,n (patients),citation_full,notes,Url
Best2010,US,"Metastatic, stable",0.4,,TTO (direct valuation),CRC patients (n not specified),"Best JH, et al. Preference values associated with stage III colon cancer and adjuvant chemotherapy. Qual Life Res. 2010;19(3):391-400.",CRC patients valued metastatic stable at 0.40; community members valued same at 0.51,
Best2010,US,"Metastatic, progressive",0.37,,TTO (direct valuation),CRC patients (n not specified),"Best JH, et al. Preference values associated with stage III colon cancer and adjuvant chemotherapy. Qual Life Res. 2010;19(3):391-400.",CRC patients valued metastatic progressive at 0.37; community members valued same at 0.21,
Petrou1997,UK,Stable disease,0.95,,SG (standard gamble),~30 proxy respondents (carers),"Petrou S, Campbell N. Stabilisation in colorectal cancer. Int J Palliat Nurs. 1997;3(5):275.",Proxy respondents (carers) due to difficulty eliciting from terminally ill patients,
Petrou1997,UK,Progressive disease,0.575,,SG (standard gamble),~30 proxy respondents (carers),"Petrou S, Campbell N. Stabilisation in colorectal cancer. Int J Palliat Nurs. 1997;3(5):275.",Proxy respondents (carers),
Ramsey2000,US,"CRC survivors (overall, 2-3 years post-dx)",0.85,SD not reported in abstract,HUI Mark III,173,"Ramsey SD, Andersen MR, Etzioni R, et al. Quality of life in survivors of colorectal carcinoma. Cancer. 2000;88(6):1294-1303.",SURVIVOR cohort 2-3 years post-diagnosis. Average utility 0.85 for survivors vs 0.65 for those who had not achieved remission. NOT metastatic-specific; mixed stages.,
Ramsey2000,US,CRC patients not in remission,0.65,SD not reported in abstract,HUI Mark III,173 total cohort,"Ramsey SD, Andersen MR, Etzioni R, et al. Quality of life in survivors of colorectal carcinoma. Cancer. 2000;88(6):1294-1303.","Patients who had NOT achieved remission. Often used as progressed/post-progression utility in mCRC models, though original study was survivors, not active metastatic disease.",
Farkkila2013,Finland,Metastatic disease,0.82,,EQ-5D (UK tariff),Not specified,"Farkkila N, et al. Health-related quality of life in colorectal cancer. Colorectal Dis. 2013.",CRC patients with metastatic disease,
Farkkila2013,Finland,Palliative care,0.643,,EQ-5D (UK tariff),Not specified,"Farkkila N, et al. Health-related quality of life in colorectal cancer. Colorectal Dis. 2013.",Likely represents more advanced/progressed state,
Stein2014,UK/Netherlands,"Second-line mCRC, pre-progression",0.741,SD = 0.230,EQ-5D-3L,42,"Stein D, Joulain F, Naoshy S, et al. Assessing health-state utility values in patients with metastatic colorectal cancer: a utility study in the United Kingdom and the Netherlands. Int J Colorectal Dis. 2014;29(10):1203-10.",Real-world study of second-line mCRC patients; pre-progression = second or third line following AE on second line,
Stein2014,UK/Netherlands,"Second-line mCRC, post-progression",0.731,SD = 0.292,EQ-5D-3L,33,"Stein D, Joulain F, Naoshy S, et al. Assessing health-state utility values in patients with metastatic colorectal cancer: a utility study in the United Kingdom and the Netherlands. Int J Colorectal Dis. 2014;29(10):1203-10.",Real-world study; post-progression = third or subsequent therapy lines or BSC. Similar utilities pre/post in this study.,
Bennett2011,Multinational trial,First-line mCRC (Panitumumab + FOLFOX4),0.778,,EQ-5D,Trial patients (n not specified),"Bennett L, et al. Health-related quality of life in patients with metastatic colorectal cancer treated with panitumumab in first- or second-line treatment. Br J Cancer. 2011.",Trial-based first-line mCRC with targeted therapy,
Bennett2011,Multinational trial,First-line mCRC (FOLFOX4 alone),0.756,,EQ-5D,Trial patients (n not specified),"Bennett L, et al. Health-related quality of life in patients with metastatic colorectal cancer treated with panitumumab in first- or second-line treatment. Br J Cancer. 2011.",Trial-based first-line mCRC,
Bennett2011,Multinational trial,Second-line mCRC (Panitumumab + FOLFIRI),0.769,,EQ-5D,Trial patients (n not specified),"Bennett L, et al. Health-related quality of life in patients with metastatic colorectal cancer treated with panitumumab in first- or second-line treatment. Br J Cancer. 2011.",Trial-based second-line mCRC with targeted therapy,
Bennett2011,Multinational trial,Second-line mCRC (FOLFIRI alone),0.762,,EQ-5D,Trial patients (n not specified),"Bennett L, et al. Health-related quality of life in patients with metastatic colorectal cancer treated with panitumumab in first- or second-line treatment. Br J Cancer. 2011.",Trial-based second-line mCRC,
Borchert2020,Germany,Advanced/metastatic CRC (palliative treatment),0.82,SD = 0.23,EQ-5D-5L (German value set),433,"Borchert K, Jacob C, Wetzel N, et al. Application study of the EQ-5D-5L in oncology: linking self-reported quality of life of patients with advanced or metastatic colorectal cancer to clinical data from a German tumor registry. Health Econ Rev. 2020;10:40.","Cross-sectional; patients at various stages of palliative treatment (first-line 55%, break after first 23%, second-line 16%, third+ 5%)",
Ramsey2000,US (SEER registry),"Survivors (long-term, disease-free)",0.85,,HUI3,312,"Ramsey SD, Andersen MR, et al. Quality of life in survivors of colorectal carcinoma. Cancer. 2000;88(6):1294-303.","PFS-like: Long-term CRC survivors; likely cured or stable, high utility.",
Ramsey2000,US (SEER registry),Progressed / died within 12 months,0.65,,HUI3,312,"Ramsey SD, Andersen MR, et al. Quality of life in survivors of colorectal carcinoma. Cancer. 2000;88(6):1294-303.","PD-like: Advanced, poor prognosis.",
Ness1999,US,Hypothetical Stage IV mCRC,0.25,N/A (Median 0.20),SG,81,"Ness RM, Holmes AM, et al. Utility valuations for outcome states of colorectal cancer. Am J Gastroenterol. 1999;94(6):1650-7.",PD-like: Extremely low valuation by surrogate population (adenoma patients).,
Stein2014,UK/Netherlands,Pre-progression (2L or 3L following AE),0.741,SD 0.230,EQ-5D-3L,42,"Stein D, Joulain F, et al. Assessing health-state utility values in patients with metastatic colorectal cancer: a utility study in the United Kingdom and the Netherlands. Support Care Cancer. 2014;22(10):2681-9.","PFS-like: On active treatment, stable disease pre-progression.",
Stein2014,UK/Netherlands,Post-progression (3L+ or BSC),0.731,SD 0.292,EQ-5D-3L,33,"Stein D, Joulain F, et al. Assessing health-state utility values in patients with metastatic colorectal cancer: a utility study in the United Kingdom and the Netherlands. Support Care Cancer. 2014;22(10):2681-9.",PD-like: Post-progression on subsequent lines or BSC.,
FÃ¤rkkilÃ¤2013,Finland,Metastatic disease (not in palliative care),0.76,CI 0.699-0.823,EQ-5D,,"FÃ¤rkkilÃ¤ N, Sintonen H, et al. Health-related quality of life in colorectal cancer patients: a follow-up study. Anticancer Res. 2013;33(2):643-9.","PFS-like: Active mCRC, pre-palliative state.",
FÃ¤rkkilÃ¤2013,Finland,Palliative care,0.643,CI 0.546-0.747,EQ-5D,,"FÃ¤rkkilÃ¤ N, Sintonen H, et al. Health-related quality of life in colorectal cancer patients: a follow-up study. Anticancer Res. 2013;33(2):643-9.",PD-like: End-stage/palliative setting.,
Mittmann2009,Canada (CO.17 Trial),Refractory Baseline (pre-progression),0.76,,HUI3,321,"Mittmann N, Trakas K, et al. Prospective cost-effectiveness analysis of cetuximab in metastatic colorectal cancer: Evaluation of national cancer institute of canada clinical trials group CO.17 Trial. J Natl Cancer Inst. 2009;101(17):1182-92.","PFS-like: Late-line, stable disease on Best Supportive Care (BSC).",
Mittmann2009,Canada (CO.17 Trial),Progression on BSC,0.66,,HUI3,,"Mittmann N, Trakas K, et al. Prospective cost-effectiveness analysis of cetuximab in metastatic colorectal cancer: Evaluation of national cancer institute of canada clinical trials group CO.17 Trial. J Natl Cancer Inst. 2009;101(17):1182-92.",PD-like: Disease progression and/or end of life.,
Al Habash (2025),Jordan,Overall mCRC Cohort (mixed lines),0.78,SD 0.250,EQ-5D-3L,164,"Al Habash K, Turfa R, et al. Measuring health-related quality of life of patients with metastatic colorectal cancer using the Jordanian EQ-5D-3L value set: a cross-sectional observational study. BMJ Open. 2025;15(11):e099635.",PFS/PD (Mixed): Included for regional and value set sensitivity analysis.,
Ramsey2000,USA (multi-center),"""Survivors""ï¿½ (long-term, disease-free)",0.85,(not reported),HUI3 (Mark II/III),128 (approx),"Ramsey et al., 2000, Cancer",QoL in CRC survivors; surveyed ~5 yrs post-diagnosis. Utility=0.85 for survivors in remission.,
Ramsey2000,USA (multi-center),"""Progressed""ï¿½ (died -1yr after survey)",0.65,(p=0.002 vs 0.85),HUI3,10 (died),"Ramsey et al., 2000, Cancer",Same study: patients who died within 12mo had much lower utility (0.65). Represents advanced/metastatic end-stage.,
Ness1999,USA (hypothetical),"mCRC state (metastatic CRC, general)",0.25,(not reported),SG (Standard Gamble),48 (with adenomas),"Ness et al., 1999, Am. J. Gastroenterol.",Very low utility for metastatic CRC state when valued by people with past polyps. (Perspective: patients without CRC envisioning metastatic disease).,
Stein2014,UK & Netherlands (2L trial),mCRC Pre-progression (on 2nd-line treatment),0.741,SD = 0.230,EQ-5D-3L (UK tariff),42 (pre-prog),"Stein et al., 2014, Int J Colorectal Dis",Real-world 2L mCRC patients; utility while on treatment (mostly ECOG 0-2). PFS here ~0.74.,
Stein2014,UK & Netherlands (2L trial),mCRC Post-progression (post 2L failure),0.731,SD = 0.292,EQ-5D-3L (UK tariff),33 (post-prog),"Stein et al., 2014, Int J Colorectal Dis",Same cohort after progression or on 3L/BSC. Utility ~0.73 (only slightly lower than pre-progression).,
Farkkila2013,Finland (cross-sectional),mCRC Metastatic disease (not in palliative care),0.82,95% CI Ã¢â°Ë[0.78Ã¢â¬â0.86],EQ-5D-3L (Finnish tariff),~100 (est.),"FÃÂ¤rkkilÃÂ¤ et al., 2013, Colorectal Dis.",National sample of CRC patients: those with metastatic disease (on treatment) had mean EQ-5D Ã¢â°Ë0.82.,
Farkkila2013,Finland (cross-sectional),"mCRC Palliative care (advanced, end-stage)",0.643,95% CI Ã¢â°Ë[0.55Ã¢â¬â0.73],EQ-5D-3L (Finnish tariff),46,"FÃÂ¤rkkilÃÂ¤ et al., 2013, Colorectal Dis.",Same study: patients in palliative care (late-stage mCRC) had much lower utility (~0.64).,
Mittmann2009,Canada/Australia (3L trial),"mCRC Refractory (baseline before 3L, mixed)",0.72,SD Ã¢â°Ë 0.24,HUI3,571 (trial),"Mittmann et al., 2009, JNCI (CO.17 trial)",NCIC CO.17 trial (cetuximab vs BSC in refractory mCRC). Baseline mean HUI3 Ã¢â°Ë0.72. (Cetuximab maintained QoL vs BSC).,
Mittmann2009,Canada/Australia (3L trial),mCRC Progression (progressed on BSC),0.45,(not reported),HUI3,279 (BSC arm),"Mittmann et al., 2009, JNCI Ã¢â¬â reported in Merck/NICE submission","In BSC arm, utilities declined (approx 0.45 at progression/end) Ã¢â¬â substantially lower than in cetuximab arm. (Implied from cost-effectiveness analysis).",
Borchert2020,Germany (German Tumor Registry Colorectal Cancer),Overall mCRC population,0.82,SD 0.23,EQ-5D-5L (German value set),433,"Borchert, K., Jacob, C., Wetzel, N. et al. Application study of the EQ-5D-5L in oncology: linking self-reported quality of life of patients with advanced or metastatic colorectal cancer to clinical data from a German tumor registry. Health Econ Rev 10, 40 (2020). https://doi.org/10.1186/s13561-020-00297-6",Cross-sectional study. Utility is the mean for the overall population.,
Borchert2020,Germany (German Tumor Registry Colorectal Cancer),PFS-like (First-line palliative treatment),0.82,SD 0.23,EQ-5D-5L (German value set),433,"Borchert, K., Jacob, C., Wetzel, N. et al. Application study of the EQ-5D-5L in oncology: linking self-reported quality of life of patients with advanced or metastatic colorectal cancer to clinical data from a German tumor registry. Health Econ Rev 10, 40 (2020). https://doi.org/10.1186/s13561-020-00297-6",Utility at 0 months post-enrollment.,
Borchert2020,Germany (German Tumor Registry Colorectal Cancer),PD-like (Second-line or later palliative treatment),0.79,SD 0.24,EQ-5D-5L (German value set),433,"Borchert, K., Jacob, C., Wetzel, N. et al. Application study of the EQ-5D-5L in oncology: linking self-reported quality of life of patients with advanced or metastatic colorectal cancer to clinical data from a German tumor registry. Health Econ Rev 10, 40 (2020). https://doi.org/10.1186/s13561-020-00297-6",Utility at 20 months post-enrollment (lowest mean value).,
Borchert2020,Germany / German Tumor Registry Colorectal Cancer,Overall mCRC (Mean),0.82,SD 0.23,EQ-5D-5L (German value set),433,"Borchert K, Jacob C, Wetzel N, et al. Application study of the EQ-5D-5L in oncology: linking self-reported quality of life of patients with advanced or metastatic colorectal cancer to clinical data from a German tumor registry. Health Econ Rev. 2020;10(1):40.","Mean utility for the entire cohort, most in first-line palliative therapy.",
Borchert2020,Germany / German Tumor Registry Colorectal Cancer,Palliative treatment line: First-line (Median),0.85,Estimated from Figure 5,EQ-5D-5L (German value set),N/A (Subgroup),"Borchert K, Jacob C, Wetzel N, et al. Application study of the EQ-5D-5L in oncology: linking self-reported quality of life of patients with advanced or metastatic colorectal cancer to clinical data from a German tumor registry. Health Econ Rev. 2020;10(1):40.",Proxy for PFS-like state.,
Borchert2020,Germany / German Tumor Registry Colorectal Cancer,Palliative treatment line: Third-line or later (Median),0.7,Estimated from Figure 5,EQ-5D-5L (German value set),N/A (Subgroup),"Borchert K, Jacob C, Wetzel N, et al. Application study of the EQ-5D-5L in oncology: linking self-reported quality of life of patients with advanced or metastatic colorectal cancer to clinical data from a German tumor registry. Health Econ Rev. 2020;10(1):40.",Proxy for PD-like state.,
Borchert2020,Germany (German Tumor Registry),Overall mCRC (mixed PFS/PD-like states),0.82,SD: 0.23,EQ-5D-5L (German value set),433,"Borchert K, Jacob C, Wetzel N, JÃ¤nicke M, Eggers E, Sauer A, Marschner N, Altevers J, Mittendorf T, Greiner W. Application study of the EQ-5D-5L in oncology: linking self-reported quality of life of patients with advanced or metastatic colorectal cancer to clinical data from a German tumor registry. Health Econ Rev. 2020 Dec 12;10(1):40.","Cross-sectional study of patients in various stages of palliative treatment. Utility values are for the overall cohort, not distinct PFS/PD states.",
Stintzing2020,Germany (Cost-effectiveness model),Progression-Free Survival (PFS-like),0.73,95% CI: 0.69-0.77,EQ-5D (Model Input),,"Stintzing S, van Oostrum I, Pescott CP, Ronga P, Heeg B, Heinemann V. Cost-effectiveness of FOLFIRI + cetuximab vs FOLFIRI + bevacizumab in the first-line treatment of RAS wild-type metastatic colorectal cancer in Germany: data from the FIRE-3 (AIO KRK-0306) study. J Med Econ. 2020 May;23(5):448-455.","Utility value used as a model input for the PFS state in a German CEA, likely sourced from Stein et al. (2014).",
Stintzing2020,Germany (Cost-effectiveness model),Progressive Disease (PD-like),0.59,95% CI: 0.55-0.63,EQ-5D (Model Input),,"Stintzing S, van Oostrum I, Pescott CP, Ronga P, Heeg B, Heinemann V. Cost-effectiveness of FOLFIRI + cetuximab vs FOLFIRI + bevacizumab in the first-line treatment of RAS wild-type metastatic colorectal cancer in Germany: data from the FIRE-3 (AIO KRK-0306) study. J Med Econ. 2020 May;23(5):448-455.","Utility value used as a model input for the PD state in a German CEA, likely sourced from Stein et al. (2014).",
NCPE2014,Ireland (HTA Model Input),Stable Disease (PFS-like),0.78,Not reported in summary,EQ-5D based (Model Input),,National Centre for Pharmacoeconomics. Cost effectiveness of aflibercept (ZaltrapÂ®) in combination with FOLFIRI in the treatment of adult patients with metastatic colorectal cancer (mCRC) that is resistant to or has progressed after an oxaliplatin-containing regimen. February 2014. [Summary for website],Utility value used as a model input in the Irish HTA. Derived from an interim analysis of the ASQoP study.,
NCPE2014,Ireland (HTA Model Input),Progressed Disease (PD-like),0.71,Not reported in summary,EQ-5D based (Model Input),,National Centre for Pharmacoeconomics. Cost effectiveness of aflibercept (ZaltrapÂ®) in combination with FOLFIRI in the treatment of adult patients with metastatic colorectal cancer (mCRC) that is resistant to or has progressed after an oxaliplatin-containing regimen. February 2014. [Summary for website],Utility value used as a model input in the Irish HTA. Derived from a manufacturer-conducted study.,
Rivera2017,Spain (Model based on PEAK trial data),Progression free (PFS-like),0.7678,Not reported,EQ-5D,104,"Rivera F, Valladares M, Gea S, LÃ³pez-MartÃ­nez N. Cost-effectiveness analysis in the Spanish setting of the PEAK trial of panitumumab plus mFOLFOX6 compared with bevacizumab plus mFOLFOX6 for first-line treatment of patients with wild-type RAS metastatic colorectal cancer. J Med Econ. 2017;20(6):574-584.","Utility values for the model's health states (Progression free, Progressive disease) were derived from patient-level data from panitumumab trials, likely Wang et al. (2011).",
Rivera2017,Spain (Model based on PEAK trial data),Progressive disease (PD-like),0.6318,Not reported,EQ-5D,68,"Rivera F, Valladares M, Gea S, LÃ³pez-MartÃ­nez N. Cost-effectiveness analysis in the Spanish setting of the PEAK trial of panitumumab plus mFOLFOX6 compared with bevacizumab plus mFOLFOX6 for first-line treatment of patients with wild-type RAS metastatic colorectal cancer. J Med Econ. 2017;20(6):574-584.","Utility values for the model's health states (Progression free, Progressive disease) were derived from patient-level data from panitumumab trials, likely Wang et al. (2011).",
Rivera2017,Spain,Progression-free,0.821,Not reported,EQ-5D (Source: Patient-level data from panitumumab trials),Not reported,"Rivera F, Valladares M, Gea S, LÃ³pez-MartÃ­nez N. Cost-effectiveness analysis in the Spanish setting of the PEAK trial of panitumumab plus mFOLFOX6 compared with bevacizumab plus mFOLFOX6 for first-line treatment of patients with wild-type RAS metastatic colorectal cancer. J Med Econ. 2017 Jun;20(6):574-584.",Utility values were calculated from patient-level EQ-5D data from panitumumab trials and validated by local clinical experts in mCRC.,
Rivera2017,Spain,Progressive disease: Treat with subsequent active therapy,0.78,Not reported,EQ-5D (Source: Patient-level data from panitumumab trials),Not reported,"Rivera F, Valladares M, Gea S, LÃ³pez-MartÃ­nez N. Cost-effectiveness analysis in the Spanish setting of the PEAK trial of panitumumab plus mFOLFOX6 compared with bevacizumab plus mFOLFOX6 for first-line treatment of patients with wild-type RAS metastatic colorectal cancer. J Med Econ. 2017 Jun;20(6):574-584.",Utility values were calculated from patient-level EQ-5D data from panitumumab trials and validated by local clinical experts in mCRC.,
Rivera2017,Spain,Progressive disease: Treat with best supportive care,0.68,Not reported,EQ-5D (Source: Patient-level data from panitumumab trials),Not reported,"Rivera F, Valladares M, Gea S, LÃ³pez-MartÃ­nez N. Cost-effectiveness analysis in the Spanish setting of the PEAK trial of panitumumab plus mFOLFOX6 compared with bevacizumab plus mFOLFOX6 for first-line treatment of patients with wild-type RAS metastatic colorectal cancer. J Med Econ. 2017 Jun;20(6):574-584.",Utility values were calculated from patient-level EQ-5D data from panitumumab trials and validated by local clinical experts in mCRC.,
Rivera2017,Spain,Attempted resection of metastases,0.78,Not reported,EQ-5D (Source: Patient-level data from panitumumab trials),Not reported,"Rivera F, Valladares M, Gea S, LÃ³pez-MartÃ­nez N. Cost-effectiveness analysis in the Spanish setting of the PEAK trial of panitumumab plus mFOLFOX6 compared with bevacizumab plus mFOLFOX6 for first-line treatment of patients with wild-type RAS metastatic colorectal cancer. J Med Econ. 2017 Jun;20(6):574-584.",Utility values were calculated from patient-level EQ-5D data from panitumumab trials and validated by local clinical experts in mCRC.,
Rivera2017,Spain,Disease free after metastases resection,0.93,Not reported,EQ-5D (Source: Patient-level data from panitumumab trials),Not reported,"Rivera F, Valladares M, Gea S, LÃ³pez-MartÃ­nez N. Cost-effectiveness analysis in the Spanish setting of the PEAK trial of panitumumab plus mFOLFOX6 compared with bevacizumab plus mFOLFOX6 for first-line treatment of patients with wild-type RAS metastatic colorectal cancer. J Med Econ. 2017 Jun;20(6):574-584.",Utility values were calculated from patient-level EQ-5D data from panitumumab trials and validated by local clinical experts in mCRC.,
Rivera2017,Spain,Progressive disease: after resection and relapse,0.68,Not reported,EQ-5D (Source: Patient-level data from panitumumab trials),Not reported,"Rivera F, Valladares M, Gea S, LÃ³pez-MartÃ­nez N. Cost-effectiveness analysis in the Spanish setting of the PEAK trial of panitumumab plus mFOLFOX6 compared with bevacizumab plus mFOLFOX6 for first-line treatment of patients with wild-type RAS metastatic colorectal cancer. J Med Econ. 2017 Jun;20(6):574-584.",Utility values were calculated from patient-level EQ-5D data from panitumumab trials and validated by local clinical experts in mCRC.,
Anton2019,"Spain (Model-based, Spanish Societal Perspective)","FOLFOX (PFS-like, on treatment)",0.78,Not reported (Adopted from Lairson et al.Â²?),Not reported (Adopted from Lairson et al.Â²?),Not reported (Adopted from Lairson et al.Â²?),"AntÃ³n RodrÃ­guez, C., Abal Posada, M., Alonso Alconada, L., Candamio Folgar, S., LÃ³pez LÃ³pez, R., & MartÃ­n-Saborido, C. (2019). Monitoring treatment response in metastasic colorectal cancer: Economic evaluation of PrediCTC versus computed tomography scan. Global & Regional Health Technology Assessment, 2019, 2284240319858331.",Utility values adopted from international literature for use in a Spanish cost-utility model for mCRC.,
Anton2019,"Spain (Model-based, Spanish Societal Perspective)","FOLFIRI (PFS-like, on treatment)",0.75,Not reported (Adopted from Starling et al.Â²Â¹),Not reported (Adopted from Starling et al.Â²Â¹),Not reported (Adopted from Starling et al.Â²Â¹),"AntÃ³n RodrÃ­guez, C., Abal Posada, M., Alonso Alconada, L., Candamio Folgar, S., LÃ³pez LÃ³pez, R., & MartÃ­n-Saborido, C. (2019). Monitoring treatment response in metastasic colorectal cancer: Economic evaluation of PrediCTC versus computed tomography scan. Global & Regional Health Technology Assessment, 2019, 2284240319858331.",Utility values adopted from international literature for use in a Spanish cost-utility model for mCRC.,
Anton2019,"Spain (Model-based, Spanish Societal Perspective)","Capecitabine (PFS-like, on treatment)",0.78,Not reported (Adopted from Orchard et al.Â²Â²),Not reported (Adopted from Orchard et al.Â²Â²),Not reported (Adopted from Orchard et al.Â²Â²),"AntÃ³n RodrÃ­guez, C., Abal Posada, M., Alonso Alconada, L., Candamio Folgar, S., LÃ³pez LÃ³pez, R., & MartÃ­n-Saborido, C. (2019). Monitoring treatment response in metastasic colorectal cancer: Economic evaluation of PrediCTC versus computed tomography scan. Global & Regional Health Technology Assessment, 2019, 2284240319858331.",Utility values adopted from international literature for use in a Spanish cost-utility model for mCRC.,
Anton2019,"Spain (Model-based, Spanish Societal Perspective)","Panitumumab (PFS-like, on treatment)",0.81,Not reported (Adopted from Hoyle et al.Â²Â³),Not reported (Adopted from Hoyle et al.Â²Â³),Not reported (Adopted from Hoyle et al.Â²Â³),"AntÃ³n RodrÃ­guez, C., Abal Posada, M., Alonso Alconada, L., Candamio Folgar, S., LÃ³pez LÃ³pez, R., & MartÃ­n-Saborido, C. (2019). Monitoring treatment response in metastasic colorectal cancer: Economic evaluation of PrediCTC versus computed tomography scan. Global & Regional Health Technology Assessment, 2019, 2284240319858331.",Utility values adopted from international literature for use in a Spanish cost-utility model for mCRC.,
Anton2019,"Spain (Model-based, Spanish Societal Perspective)","Best Supportive Treatment (PD-like, palliative)",0.69,Not reported (Adopted from Hoyle et al.Â²Â³),Not reported (Adopted from Hoyle et al.Â²Â³),Not reported (Adopted from Hoyle et al.Â²Â³),"AntÃ³n RodrÃ­guez, C., Abal Posada, M., Alonso Alconada, L., Candamio Folgar, S., LÃ³pez LÃ³pez, R., & MartÃ­n-Saborido, C. (2019). Monitoring treatment response in metastasic colorectal cancer: Economic evaluation of PrediCTC versus computed tomography scan. Global & Regional Health Technology Assessment, 2019, 2284240319858331.",Utility values adopted from international literature for use in a Spanish cost-utility model for mCRC.,
Anton2019,"Spain (Model-based, Spanish Societal Perspective)","Peripheral Neuropathy (PD-like, side effect)",0.44,Not reported (Adopted from Currie et al.Â²?),Not reported (Adopted from Currie et al.Â²?),Not reported (Adopted from Currie et al.Â²?),"AntÃ³n RodrÃ­guez, C., Abal Posada, M., Alonso Alconada, L., Candamio Folgar, S., LÃ³pez LÃ³pez, R., & MartÃ­n-Saborido, C. (2019). Monitoring treatment response in metastasic colorectal cancer: Economic evaluation of PrediCTC versus computed tomography scan. Global & Regional Health Technology Assessment, 2019, 2284240319858331.",Utility values adopted from international literature for use in a Spanish cost-utility model for mCRC.,
Paly2024,Spain (Subgroup of FRESCO-2 trial),"PFS-like (No Progression, No Grade 3 AE)",0.6398,Not reported,"EQ-5D-5L (Mapped, multi-country value set)",691,"Paly, V., Alfonso, P. G., Chong, G., Yoshino, T., et al. (2024). Quality of Life Impact of Adverse Events Associated With Systemic Therapies for Metastatic Colorectal Cancer Previously Treated With Standard Therapies and Biologics Across 13 Countries in Europe, North America, and Asia. Value in Health, 27(6), S1098-3015(24)06199-0.",Estimated utility from a mixed-effects regression model. Centered baseline utility.,
Paly2024,Spain (Subgroup of FRESCO-2 trial),PD-like (Progressive Disease),0.595,Not reported,"EQ-5D-5L (Mapped, multi-country value set)",691,"Paly, V., Alfonso, P. G., Chong, G., Yoshino, T., et al. (2024). Quality of Life Impact of Adverse Events Associated With Systemic Therapies for Metastatic Colorectal Cancer Previously Treated With Standard Therapies and Biologics Across 13 Countries in Europe, North America, and Asia. Value in Health, 27(6), S1098-3015(24)06199-0.",Estimated utility (0.6398 - 0.0448 decrement).,
Paly2024,Spain (Subgroup of FRESCO-2 trial),PD-like (Progressive Disease + Ongoing Grade 3 AE),0.4909,Not reported,"EQ-5D-5L (Mapped, multi-country value set)",691,"Paly, V., Alfonso, P. G., Chong, G., Yoshino, T., et al. (2024). Quality of Life Impact of Adverse Events Associated With Systemic Therapies for Metastatic Colorectal Cancer Previously Treated With Standard Therapies and Biologics Across 13 Countries in Europe, North America, and Asia. Value in Health, 27(6), S1098-3015(24)06199-0.",Estimated utility (0.5950 - 0.1041 decrement).,
