study_id,country/setting,line_or_state,mean_utility,se_or_ci,instrument,n (patients),citation_full,notes
Borchert2020,Germany / German Tumor Registry Colorectal Cancer,Overall mCRC (Mean),0.82,SD 0.23,EQ-5D-5L (German value set),433,"Borchert K, Jacob C, Wetzel N, et al. Application study of the EQ-5D-5L in oncology: linking self-reported quality of life of patients with advanced or metastatic colorectal cancer to clinical data from a German tumor registry. Health Econ Rev. 2020;10(1):40.","Mean utility for the entire cohort, most in first-line palliative therapy."
Borchert2020,Germany / German Tumor Registry Colorectal Cancer,Palliative treatment line: First-line (Median),0.85,Estimated from Figure 5,EQ-5D-5L (German value set),N/A (Subgroup),"Borchert K, Jacob C, Wetzel N, et al. Application study of the EQ-5D-5L in oncology: linking self-reported quality of life of patients with advanced or metastatic colorectal cancer to clinical data from a German tumor registry. Health Econ Rev. 2020;10(1):40.",Proxy for PFS-like state.
Borchert2020,Germany / German Tumor Registry Colorectal Cancer,Palliative treatment line: Third-line or later (Median),0.70,Estimated from Figure 5,EQ-5D-5L (German value set),N/A (Subgroup),"Borchert K, Jacob C, Wetzel N, et al. Application study of the EQ-5D-5L in oncology: linking self-reported quality of life of patients with advanced or metastatic colorectal cancer to clinical data from a German tumor registry. Health Econ Rev. 2020;10(1):40.",Proxy for PD-like state.
Borchert2020,Germany (German Tumor Registry),Overall mCRC (mixed PFS/PD-like states),0.82,SD: 0.23,EQ-5D-5L (German value set),433,"Borchert K, Jacob C, Wetzel N, Jänicke M, Eggers E, Sauer A, Marschner N, Altevers J, Mittendorf T, Greiner W. Application study of the EQ-5D-5L in oncology: linking self-reported quality of life of patients with advanced or metastatic colorectal cancer to clinical data from a German tumor registry. Health Econ Rev. 2020 Dec 12;10(1):40.","Cross-sectional study of patients in various stages of palliative treatment. Utility values are for the overall cohort, not distinct PFS/PD states."
Stintzing2020,Germany (Cost-effectiveness model),Progression-Free Survival (PFS-like),0.73,95% CI: 0.69-0.77,EQ-5D (Model Input),N/A,"Stintzing S, van Oostrum I, Pescott CP, Ronga P, Heeg B, Heinemann V. Cost-effectiveness of FOLFIRI + cetuximab vs FOLFIRI + bevacizumab in the first-line treatment of RAS wild-type metastatic colorectal cancer in Germany: data from the FIRE-3 (AIO KRK-0306) study. J Med Econ. 2020 May;23(5):448-455.","Utility value used as a model input for the PFS state in a German CEA, likely sourced from Stein et al. (2014)."
Stintzing2020,Germany (Cost-effectiveness model),Progressive Disease (PD-like),0.59,95% CI: 0.55-0.63,EQ-5D (Model Input),N/A,"Stintzing S, van Oostrum I, Pescott CP, Ronga P, Heeg B, Heinemann V. Cost-effectiveness of FOLFIRI + cetuximab vs FOLFIRI + bevacizumab in the first-line treatment of RAS wild-type metastatic colorectal cancer in Germany: data from the FIRE-3 (AIO KRK-0306) study. J Med Econ. 2020 May;23(5):448-455.","Utility value used as a model input for the PD state in a German CEA, likely sourced from Stein et al. (2014)."
NCPE2014,Ireland (HTA Model Input),Stable Disease (PFS-like),0.78,Not reported in summary,EQ-5D based (Model Input),N/A,National Centre for Pharmacoeconomics. Cost effectiveness of aflibercept (Zaltrap®) in combination with FOLFIRI in the treatment of adult patients with metastatic colorectal cancer (mCRC) that is resistant to or has progressed after an oxaliplatin-containing regimen. February 2014. [Summary for website],Utility value used as a model input in the Irish HTA. Derived from an interim analysis of the ASQoP study.
NCPE2014,Ireland (HTA Model Input),Progressed Disease (PD-like),0.71,Not reported in summary,EQ-5D based (Model Input),N/A,National Centre for Pharmacoeconomics. Cost effectiveness of aflibercept (Zaltrap®) in combination with FOLFIRI in the treatment of adult patients with metastatic colorectal cancer (mCRC) that is resistant to or has progressed after an oxaliplatin-containing regimen. February 2014. [Summary for website],Utility value used as a model input in the Irish HTA. Derived from a manufacturer-conducted study.
Rivera2017,Spain (Model based on PEAK trial data),Progression free (PFS-like),0.7678,Not reported,EQ-5D,104,"Rivera F, Valladares M, Gea S, López-Martínez N. Cost-effectiveness analysis in the Spanish setting of the PEAK trial of panitumumab plus mFOLFOX6 compared with bevacizumab plus mFOLFOX6 for first-line treatment of patients with wild-type RAS metastatic colorectal cancer. J Med Econ. 2017;20(6):574-584.","Utility values for the model's health states (Progression free, Progressive disease) were derived from patient-level data from panitumumab trials, likely Wang et al. (2011)."
Rivera2017,Spain (Model based on PEAK trial data),Progressive disease (PD-like),0.6318,Not reported,EQ-5D,68,"Rivera F, Valladares M, Gea S, López-Martínez N. Cost-effectiveness analysis in the Spanish setting of the PEAK trial of panitumumab plus mFOLFOX6 compared with bevacizumab plus mFOLFOX6 for first-line treatment of patients with wild-type RAS metastatic colorectal cancer. J Med Econ. 2017;20(6):574-584.","Utility values for the model's health states (Progression free, Progressive disease) were derived from patient-level data from panitumumab trials, likely Wang et al. (2011)."
Rivera2017,Spain,Progression-free,0.821,Not reported,EQ-5D (Source: Patient-level data from panitumumab trials),Not reported,"Rivera F, Valladares M, Gea S, López-Martínez N. Cost-effectiveness analysis in the Spanish setting of the PEAK trial of panitumumab plus mFOLFOX6 compared with bevacizumab plus mFOLFOX6 for first-line treatment of patients with wild-type RAS metastatic colorectal cancer. J Med Econ. 2017 Jun;20(6):574-584.",Utility values were calculated from patient-level EQ-5D data from panitumumab trials and validated by local clinical experts in mCRC.
Rivera2017,Spain,Progressive disease: Treat with subsequent active therapy,0.78,Not reported,EQ-5D (Source: Patient-level data from panitumumab trials),Not reported,"Rivera F, Valladares M, Gea S, López-Martínez N. Cost-effectiveness analysis in the Spanish setting of the PEAK trial of panitumumab plus mFOLFOX6 compared with bevacizumab plus mFOLFOX6 for first-line treatment of patients with wild-type RAS metastatic colorectal cancer. J Med Econ. 2017 Jun;20(6):574-584.",Utility values were calculated from patient-level EQ-5D data from panitumumab trials and validated by local clinical experts in mCRC.
Rivera2017,Spain,Progressive disease: Treat with best supportive care,0.68,Not reported,EQ-5D (Source: Patient-level data from panitumumab trials),Not reported,"Rivera F, Valladares M, Gea S, López-Martínez N. Cost-effectiveness analysis in the Spanish setting of the PEAK trial of panitumumab plus mFOLFOX6 compared with bevacizumab plus mFOLFOX6 for first-line treatment of patients with wild-type RAS metastatic colorectal cancer. J Med Econ. 2017 Jun;20(6):574-584.",Utility values were calculated from patient-level EQ-5D data from panitumumab trials and validated by local clinical experts in mCRC.
Rivera2017,Spain,Attempted resection of metastases,0.78,Not reported,EQ-5D (Source: Patient-level data from panitumumab trials),Not reported,"Rivera F, Valladares M, Gea S, López-Martínez N. Cost-effectiveness analysis in the Spanish setting of the PEAK trial of panitumumab plus mFOLFOX6 compared with bevacizumab plus mFOLFOX6 for first-line treatment of patients with wild-type RAS metastatic colorectal cancer. J Med Econ. 2017 Jun;20(6):574-584.",Utility values were calculated from patient-level EQ-5D data from panitumumab trials and validated by local clinical experts in mCRC.
Rivera2017,Spain,Disease free after metastases resection,0.93,Not reported,EQ-5D (Source: Patient-level data from panitumumab trials),Not reported,"Rivera F, Valladares M, Gea S, López-Martínez N. Cost-effectiveness analysis in the Spanish setting of the PEAK trial of panitumumab plus mFOLFOX6 compared with bevacizumab plus mFOLFOX6 for first-line treatment of patients with wild-type RAS metastatic colorectal cancer. J Med Econ. 2017 Jun;20(6):574-584.",Utility values were calculated from patient-level EQ-5D data from panitumumab trials and validated by local clinical experts in mCRC.
Rivera2017,Spain,Progressive disease: after resection and relapse,0.68,Not reported,EQ-5D (Source: Patient-level data from panitumumab trials),Not reported,"Rivera F, Valladares M, Gea S, López-Martínez N. Cost-effectiveness analysis in the Spanish setting of the PEAK trial of panitumumab plus mFOLFOX6 compared with bevacizumab plus mFOLFOX6 for first-line treatment of patients with wild-type RAS metastatic colorectal cancer. J Med Econ. 2017 Jun;20(6):574-584.",Utility values were calculated from patient-level EQ-5D data from panitumumab trials and validated by local clinical experts in mCRC.
Anton2019,"Spain (Model-based, Spanish Societal Perspective)","FOLFOX (PFS-like, on treatment)",0.780,Not reported (Adopted from Lairson et al.²⁰),Not reported (Adopted from Lairson et al.²⁰),Not reported (Adopted from Lairson et al.²⁰),"Antón Rodríguez, C., Abal Posada, M., Alonso Alconada, L., Candamio Folgar, S., López López, R., & Martín-Saborido, C. (2019). Monitoring treatment response in metastasic colorectal cancer: Economic evaluation of PrediCTC versus computed tomography scan. Global & Regional Health Technology Assessment, 2019, 2284240319858331.",Utility values adopted from international literature for use in a Spanish cost-utility model for mCRC.
Anton2019,"Spain (Model-based, Spanish Societal Perspective)","FOLFIRI (PFS-like, on treatment)",0.750,Not reported (Adopted from Starling et al.²¹),Not reported (Adopted from Starling et al.²¹),Not reported (Adopted from Starling et al.²¹),"Antón Rodríguez, C., Abal Posada, M., Alonso Alconada, L., Candamio Folgar, S., López López, R., & Martín-Saborido, C. (2019). Monitoring treatment response in metastasic colorectal cancer: Economic evaluation of PrediCTC versus computed tomography scan. Global & Regional Health Technology Assessment, 2019, 2284240319858331.",Utility values adopted from international literature for use in a Spanish cost-utility model for mCRC.
Anton2019,"Spain (Model-based, Spanish Societal Perspective)","Capecitabine (PFS-like, on treatment)",0.780,Not reported (Adopted from Orchard et al.²²),Not reported (Adopted from Orchard et al.²²),Not reported (Adopted from Orchard et al.²²),"Antón Rodríguez, C., Abal Posada, M., Alonso Alconada, L., Candamio Folgar, S., López López, R., & Martín-Saborido, C. (2019). Monitoring treatment response in metastasic colorectal cancer: Economic evaluation of PrediCTC versus computed tomography scan. Global & Regional Health Technology Assessment, 2019, 2284240319858331.",Utility values adopted from international literature for use in a Spanish cost-utility model for mCRC.
Anton2019,"Spain (Model-based, Spanish Societal Perspective)","Panitumumab (PFS-like, on treatment)",0.810,Not reported (Adopted from Hoyle et al.²³),Not reported (Adopted from Hoyle et al.²³),Not reported (Adopted from Hoyle et al.²³),"Antón Rodríguez, C., Abal Posada, M., Alonso Alconada, L., Candamio Folgar, S., López López, R., & Martín-Saborido, C. (2019). Monitoring treatment response in metastasic colorectal cancer: Economic evaluation of PrediCTC versus computed tomography scan. Global & Regional Health Technology Assessment, 2019, 2284240319858331.",Utility values adopted from international literature for use in a Spanish cost-utility model for mCRC.
Anton2019,"Spain (Model-based, Spanish Societal Perspective)","Best Supportive Treatment (PD-like, palliative)",0.690,Not reported (Adopted from Hoyle et al.²³),Not reported (Adopted from Hoyle et al.²³),Not reported (Adopted from Hoyle et al.²³),"Antón Rodríguez, C., Abal Posada, M., Alonso Alconada, L., Candamio Folgar, S., López López, R., & Martín-Saborido, C. (2019). Monitoring treatment response in metastasic colorectal cancer: Economic evaluation of PrediCTC versus computed tomography scan. Global & Regional Health Technology Assessment, 2019, 2284240319858331.",Utility values adopted from international literature for use in a Spanish cost-utility model for mCRC.
Anton2019,"Spain (Model-based, Spanish Societal Perspective)","Peripheral Neuropathy (PD-like, side effect)",0.440,Not reported (Adopted from Currie et al.²⁴),Not reported (Adopted from Currie et al.²⁴),Not reported (Adopted from Currie et al.²⁴),"Antón Rodríguez, C., Abal Posada, M., Alonso Alconada, L., Candamio Folgar, S., López López, R., & Martín-Saborido, C. (2019). Monitoring treatment response in metastasic colorectal cancer: Economic evaluation of PrediCTC versus computed tomography scan. Global & Regional Health Technology Assessment, 2019, 2284240319858331.",Utility values adopted from international literature for use in a Spanish cost-utility model for mCRC.
Paly2024,Spain (Subgroup of FRESCO-2 trial),"PFS-like (No Progression, No Grade 3 AE)",0.6398,Not reported,"EQ-5D-5L (Mapped, multi-country value set)",691,"Paly, V., Alfonso, P. G., Chong, G., Yoshino, T., et al. (2024). Quality of Life Impact of Adverse Events Associated With Systemic Therapies for Metastatic Colorectal Cancer Previously Treated With Standard Therapies and Biologics Across 13 Countries in Europe, North America, and Asia. Value in Health, 27(6), S1098-3015(24)06199-0.",Estimated utility from a mixed-effects regression model. Centered baseline utility.
Paly2024,Spain (Subgroup of FRESCO-2 trial),PD-like (Progressive Disease),0.5950,Not reported,"EQ-5D-5L (Mapped, multi-country value set)",691,"Paly, V., Alfonso, P. G., Chong, G., Yoshino, T., et al. (2024). Quality of Life Impact of Adverse Events Associated With Systemic Therapies for Metastatic Colorectal Cancer Previously Treated With Standard Therapies and Biologics Across 13 Countries in Europe, North America, and Asia. Value in Health, 27(6), S1098-3015(24)06199-0.",Estimated utility (0.6398 - 0.0448 decrement).
Paly2024,Spain (Subgroup of FRESCO-2 trial),PD-like (Progressive Disease + Ongoing Grade 3 AE),0.4909,Not reported,"EQ-5D-5L (Mapped, multi-country value set)",691,"Paly, V., Alfonso, P. G., Chong, G., Yoshino, T., et al. (2024). Quality of Life Impact of Adverse Events Associated With Systemic Therapies for Metastatic Colorectal Cancer Previously Treated With Standard Therapies and Biologics Across 13 Countries in Europe, North America, and Asia. Value in Health, 27(6), S1098-3015(24)06199-0.",Estimated utility (0.5950 - 0.1041 decrement).
