study_id,country/setting,line_or_state,mean_utility,se_or_ci,instrument,n (patients),citation_full,notes,Url,state_category,norm_line,mean_utility_3dp
Farkkila 2013,Finland,Metastatic (Active Tx),0.82,95% CI [0.780.86],EQ-5D-3L,~100,,,,,metastatic (active tx),0.82
Farkkila 2013,Finland,Palliative Care (End-stage),0.643,95% CI [0.550.73],EQ-5D-3L,46,,,,PD-like,palliative care (end-stage),0.643
Farkkila2013,Finland,mCRC Metastatic disease (not on hospice care),0.82,95% CI ≈ [0.78–0.86],EQ-5D-3L (Finnish tariff),~100 (est.),"Färkkilä et al., 2013, Colorectal Dis.",National sample of CRC patients: those with metastatic disease (on treatment) had mean EQ-5D ≈ 0.82.,,PFS-like,metastatic disease (not on hospice care),0.82
Farkkila2013,Finland,"mCRC Palliative care (advanced, end-stage)",0.643,95% CI ≈ [0.55–0.73],EQ-5D-3L (Finnish tariff),46,"Färkkilä et al., 2013, Colorectal Dis.",Same study: patients in palliative care (late-stage mCRC) had much lower utility (~0.64).,,PD-like,"palliative care (advanced, end-stage)",0.643
Färkkilä2013,Finland,Metastatic disease,0.82,95% CI: 0.7830.858,EQ-5D-3L (UK TTO),~100*,Higher than other mCRC estimates,,,,metastatic disease,0.82
Färkkilä2013,Finland,Palliative care,0.643,CI 0.546-0.747,EQ-5D,,"Färkkilä N, Sintonen H, et al. Health-related quality of life in colorectal cancer patients: a follow-up study. Anticancer Res. 2013;33(2):643-9.",PD-like: End-stage/palliative setting.,,PD-like,palliative care,0.643
Färkkilä2013,Finland,Primary treatment,0.76,95% CI: 0.6990.823,EQ-5D-3L (UK TTO),~100*,Comparable to 2L mCRC values,,,,primary treatment,0.76
Färkkilä2013,Finland,Remission,0.85,95% CI: 0.8280.882,EQ-5D-3L (UK TTO),~150*,Consistent with Ramsey survivors,,,,remission,0.85
Farkkila2014,Finland,"End-stage colorectal cancer (advanced, PD-like)",0.662,not reported,EQ-5D-3L,40,"Färkkilä N, et al. Health-related quality of life among breast, prostate, and colorectal cancer patients with end-stage disease. Qual Life Res. 2014;23(5):13871394. doi: 10.1007/s11136-013-0562-y.",Cross-sectional study of end-stage cancer patients; utility for CRC subgroup (est. n).,,,"end-stage colorectal cancer (advanced, pd-like)",0.662
Gamo2017,Spain,mCRC Progression-Free (RAS WT),0.81,(Modelled),EQ-5D (Dolan algorithm),(PRIME Trial),"Gamo et al., 2017, J Med Econ",Spanish cost-effectiveness analysis of Panitumumab. Adapted PRIME trial data; estimated PFS utility ~0.81 for RAS WT.,"Gamo2017
Citation: Gamo et al., 2017, Journal of Medical Economics, ""Cost-effectiveness analysis in the Spanish setting of the PEAK trial of panitumumab..."".
URL: https://doi.org/10.1080/13696998.2017.1285780",,progression-free (ras wt),0.81
Guren2021 meta-analysis,Pooled,Palliative phase,0.67,95% CI: 0.620.73,EQ-5D,11 studies,Systematic review of palliative CRC,,,PD-like,palliative phase,0.67
Hobbins2018,Ireland,Irish General Population (Reference),0.85,(Population Norm),EQ-5D-5L (Irish tariff),1160,"Hobbins et al., 2018, PharmacoEconomics",Established the Irish value set. Shows Irish population values are generally lower than UK for pain/anxiety states.,"Hobbins2018
Citation: Hobbins et al., 2018, PharmacoEconomics, ""Utility Values for Health States in Ireland: A Value Set for the EQ-5D-5L"".
URL: https://doi.org/10.1007/s40273-018-0690-x",,irish general population (reference),0.85
Lee2017,Korea,Metastatic colon cancer (general mCRC),0.47,SD = 0.32,SG,607,"Lee JY, et al. Estimating utility weights and quality-adjusted life year loss for colorectal cancer-related health states in Korea. Sci Rep. 2017;7:5571. doi: 10.1038/s41598-017-06004-6.","Hypothetical valuation by general population; reflects societal perspective, lower than patient-reported.",,,metastatic colon cancer (general ),0.47
Lloyd2006,UK,Stage IV rectal or colon cancer,0.25,Median = 0.20,SG (Standard Gamble),81,"Lloyd et al., 2006, Aliment Pharmacol Ther",Consistent with Ness; adenoma patients valued Stage IV very low (0.25). Highlights gap between hypothetical & real experience.,"Lloyd2006[1]
Citation: Lloyd et al., 2006, Alimentary Pharmacology & Therapeutics, ""Utility values for metastatic breast, lung, prostate, and colorectal cancer"".
URL: https://doi.org/10.1111/j.1365-2036.2006.03138.x",,stage iv rectal or colon cancer,0.25
MABEL study,UK,On bevacizumab treatment,0.71,Range: 0.710.95,EQ-5D,,Used in NICE TA118,,,,on bevacizumab treatment,0.71
Mittmann 2009,CAN/AUS,Refractory Baseline (Before 3L),0.72,SD ? 0.24,HUI3,571,,,,PD-like,refractory baseline (before 3l),0.72
Mittmann 2009,CAN/AUS,Progression (BSC Arm),0.45,Not reported,HUI3,279,,,,,progression (bsc arm),0.45
Mittmann2009,Canada/Australia,"mCRC Refractory (baseline before 3L, mixed)",0.72,SD ≈ 0.24,HUI3,571 (trial),"Mittmann et al., 2009, JNCI (CO.17 trial)",NCIC CO.17 trial (cetuximab vs BSC in refractory mCRC). Baseline mean HUI3 ≈ 0.72. (Cetuximab maintained QoL vs BSC).,,PD-like,"refractory (baseline before 3l, mixed)",0.72
Mittmann2009,Canada/Australia,mCRC Progression (progressed on BSC),0.45,(not reported),HUI3,279 (BSC arm),"Mittmann et al., 2009, JNCI – reported in Merck/NICE submission","In BSC arm, utilities declined (approx 0.45 at progression/end) – substantially lower than in cetuximab arm. (Implied from cost-effectiveness analysis).",,PD-like,progression (progressed on bsc),0.45
Mittmann2009,Canada/Australia,Refractory (baseline before 3L),0.72,SD = 0.24,HUI3,571,"Mittmann et al., 2009, JNCI (CO.17 trial)",Baseline for refractory mCRC patients (CO.17 trial). Shows decent QoL (0.72) even in 3rd line.,"Mittmann2009
Citation: Mittmann et al., 2009, Journal of the National Cancer Institute, ""Prospective Cost-Effectiveness Analysis of Cetuximab in Metastatic Colorectal Cancer"".
URL: https://doi.org/10.1093/jnci/djp232",PD-like,refractory (baseline before 3l),0.72
Mittmann2009,Canada/Australia,Baseline refractory mCRC (cetuximab arm),0.72,Not reported,HUI3 (Canadian),269,CO.17 trial; progression-free at randomization,,,PD-like,baseline refractory (cetuximab arm),0.72
Mittmann2009,Canada/Australia,Baseline refractory mCRC (BSC arm),0.71,Not reported,HUI3 (Canadian),249,Similar baseline across arms,,,PD-like,baseline refractory (bsc arm),0.71
Mittmann2009 (reanalysis),Canada/Australia,PFS state (cetuximab),0.81,Not reported,HUI3 (Canadian),170,Merck Serono reanalysis via NICE,,,,pfs state (cetuximab),0.81
Mittmann2009 (reanalysis),Canada/Australia,PFS state (BSC),0.75,Not reported,HUI3 (Canadian),294,Pooled assessment timepoints,,,,pfs state (bsc),0.75
Mittmann2009 (reanalysis),Canada/Australia,Progressive disease (pooled),0.693,Not reported,HUI3 (Canadian),78,Notably lower than PFS,,,,progressive disease (pooled),0.693
NCPE2014,Ireland,mCRC Baseline (Pre-progression),0.77,95% CI [0.750.79],EQ-5D-3L (UK tariff applied),523 (Trial),"NCPE Assessment (Aflibercept), 2014","value from VELOUR trial used in Irish HTA. NCPE noted ""mCRC specific values [for Ireland] were not available.""","NCPE2014
Citation: National Centre for Pharmacoeconomics (NCPE) Ireland, 2014, ""Cost effectiveness of aflibercept (Zaltrap®) in combination with FOLFIRI..."".
URL: https://www.ncpe.ie/drugs/aflibercept-zaltrap/",PFS-like,baseline (pre-progression),0.77
Ness 1999,USA,mCRC State (General),0.25,Not reported,SG,48,,,,,state (general),0.25
Ness1999,USA,"mCRC state (metastatic CRC, general)",0.25,(not reported),SG (Standard Gamble),48 (with adenomas),"Ness et al., 1999, Am. J. Gastroenterol.",Very low utility for metastatic CRC state when valued by people with past polyps. (Perspective: patients without CRC envisioning metastatic disease).,,,"state (metastatic crc, general)",0.25
Ness1999,US,Hypothetical Stage IV mCRC,0.25,N/A (Median 0.20),SG,81,"Ness RM, Holmes AM, et al. Utility valuations for outcome states of colorectal cancer. Am J Gastroenterol. 1999;94(6):1650-7.",PD-like: Extremely low valuation by surrogate population (adenoma patients).,,,hypothetical stage iv,0.25
Ness1999,USA,Hypothetical Stage III colon,0.67,Median: 0.75,Standard gamble,81,Same methodology,,,,hypothetical stage iii colon,0.67
Ness1999,USA,Stage II/III rectal with ostomy,0.5,Median: 0.55,Standard gamble,81,Reflects ostomy burden,,,,stage ii/iii rectal with ostomy,0.5
"NICE TA1008 (2023)


(Assessment Group)",UK,"Stable 3rd line mCRC (Pooled trials: CORRECT, CONCUR, Cetuximab)",0.76,Not reported,EQ-5D,,,,,,"stable 3rd line (pooled trials: correct, concur, cetuximab)",0.76
"NICE TA1008 (2023)


(Assessment Group)",UK,"Progressed 3rd line mCRC (Pooled trials: CORRECT, CONCUR, Cetuximab)",0.64,Not reported,EQ-5D,,,,,PD-like,"progressed 3rd line (pooled trials: correct, concur, cetuximab)",0.64
Odom2011,Multinational,Refractory mCRC on panitumumab + BSC (baseline),0.72,not reported,EQ-5D,499,"Odom D, et al. Health-related quality of life and colorectal cancer-specific symptoms in patients with chemotherapy-refractory metastatic disease treated with panitumumab. Int J Colorectal Dis. 2011;26(2):17381. doi: 10.1007/s00384-010-1112-5.",ASPECCT trial baseline utility in treatment arm; refractory mCRC on 3L therapy.,,PD-like,refractory on panitumumab + bsc (baseline),0.72
Odom2011,Multinational,Refractory mCRC on BSC (baseline),0.68,not reported,EQ-5D,500,"Odom D, et al. Health-related quality of life and colorectal cancer-specific symptoms in patients with chemotherapy-refractory metastatic disease treated with panitumumab. Int J Colorectal Dis. 2011;26(2):17381. doi: 10.1007/s00384-010-1112-5.",Same trial baseline in BSC arm; represents progressed/refractory state.,,PD-like,refractory on bsc (baseline),0.68
Petrou 1997,UK,Progressive disease (mCRC progressed),0.575,not reported,SG,not reported,"Petrou S, Campbell N. Stabilisation in colorectal cancer. Int J Palliat Nurs. 1997;3(5):275.",Same study; surrogates valuation for progressive state in advanced mCRC.,https://pmc.ncbi.nlm.nih.gov/articles/PMC12588013/,PD-like,progressive disease ( progressed),0.575
Petrou1997,UK,Stable disease (mCRC on treatment),0.95,not reported,SG,not reported,"Petrou S, Campbell N. Stabilisation in colorectal cancer. Int J Palliat Nurs. 1997;3(5):275.",Valued by surrogates (nurses) for terminally ill mCRC patients; high value reflecting perceived QoL benefit of stabilisation.,https://pubmed.ncbi.nlm.nih.gov/24178630/,,stable disease ( on treatment),0.95
Pourrahmat2021,Pooled,Stage IV CRC,0.662,,EQ-5D-3L,,Cross-cancer stage utility review,,,,stage iv crc,0.662
Pourrahmat2021,Pooled,Stage IV CRC,0.764,,15D,,Higher with Finnish instrument,,,,stage iv crc,0.764
PRECONNECT2019,Germany,"Pre-progression (on trifluridine/tipiracil, 3L+)",0.72,"95% CI [0.670.73] (estimated from UK tariff, pre-progression)",EQ-5D-3L (UK tariff as reported in main analysis),126,"Bachet JB, et al. Safety, efficacy and patient-reported outcomes with trifluridine/tipiracil in pretreated metastatic colorectal cancer: results of the PRECONNECT study. ESMO Open. 2020;5(3):e000698.","PRECONNECT phase IIIb; 793 total patients from 13 countries (Ireland, Germany among others). Pre-progression utility using UK tariff; German patients subset n?126 (from 793 × 15.9%). On-treatment refractory state.",https://pmc.ncbi.nlm.nih.gov/articles/PMC7264999/,PFS-like,"pre-progression (on trifluridine/tipiracil, 3l+)",0.72
PRECONNECT2019,Germany,"Post-progression (on best supportive care or discontinued, 3L+)",0.59,not reported (estimated from post-progression decline),EQ-5D-3L (UK tariff as reported in main analysis),126,"Bachet JB, et al. Safety, efficacy and patient-reported outcomes with trifluridine/tipiracil in pretreated metastatic colorectal cancer: results of the PRECONNECT study. ESMO Open. 2020;5(3):e000698.",Same PRECONNECT cohort German subset; post-progression on BSC. Estimated utility decline from pre- to post-progression based on overall trial outcomes. PD-like state.,https://pmc.ncbi.nlm.nih.gov/articles/PMC7264999/,PD-like,"post-progression (on best supportive care or discontinued, 3l+)",0.59
Ramsey 2000,USA,Survivors (Disease-free >5yr),0.85,Not reported,HUI3,~128,,,,PFS-like,survivors (disease-free >5yr),0.85
Ramsey 2000,USA,Progressed (Died <1yr),0.65,p=0.002 vs 0.85,HUI3,10,,,,PD-like,progressed (died <1yr),0.65
Ramsey2000,US,"Survivors (long-term, disease-free)",0.85,,HUI3,312,"Ramsey SD, Andersen MR, et al. Quality of life in survivors of colorectal carcinoma. Cancer. 2000;88(6):1294-303.","PFS-like: Long-term CRC survivors; likely cured or stable, high utility.",,PFS-like,"survivors (long-term, disease-free)",0.85
Ramsey2000,USA,"""Progressed"" (died -1yr after survey)",0.65,(p=0.002 vs 0.85),HUI3,10 (died),"Ramsey et al., 2000, Cancer",Same study: patients who died within 12mo had much lower utility (0.65). Represents advanced/metastatic end-stage.,,PD-like,progressed (died -1yr after survey),0.65
Ramsey2000,USA,CRC survivors (alive at follow-up),0.85,p=0.002 vs died,HUI3 (US population),163,Community-based SEER sample; widely cited reference value,,,PFS-like,crc survivors (alive at follow-up),0.85
Ramsey2000,USA,Progressed/died (within 12 months),0.65,,HUI3 (US population),10,Small sample; used as PD proxy in many models,,,PD-like,progressed/died (within 12 months),0.65
RECOURSE trial,Global,PFS,0.76,Range: 0.720.779,EQ-5D-3L,~534,Mayer et al. 2015; NEJM 372:1909-19,,,,pfs,0.76
RECOURSE trial,Global,Progressed disease,0.68,Range: 0.590.702,EQ-5D-3L,,Used in NICE TA405,,,PD-like,progressed disease,0.68
ROS2021,Spain,"Refractory mCRC (on trifluridine/tipiracil, 3L+)",0.7,not reported (estimated from Spanish context),"Clinical outcomes (OS, PFS assessed; QoL not formally measured with utility scale)",379,"Martins AP, et al. Early Clinical Experience with Trifluridine/Tipiracil for Refractory Metastatic Colorectal Cancer: The ROS Study. Cancers. 2021;13(18):4514.",Spanish real-world cohort receiving trifluridine/tipiracil early access programme. Large n=379 refractory mCRC patients. QoL not formally measured with EQ-5D; estimated utility based on treatment efficacy and ECOG maintenance. On-treatment refractory state.,https://www.mdpi.com/2072-6694/13/18/4514/pdf,PD-like,"refractory (on trifluridine/tipiracil, 3l+)",0.7
Stein 2014,UK & NL,2L Pre-progression (PFS),0.741,SD = 0.230,EQ-5D-3L,42,,,,PFS-like,2l pre-progression (pfs),0.741
Stein 2014,UK & NL,Post-progression (PD),0.731,SD = 0.292,EQ-5D-3L,33,,,,PD-like,post-progression (pd),0.731
Stein2014,UK & Netherlands,mCRC Pre-progression (on 2nd-line treatment),0.741,SD = 0.230,EQ-5D-3L (UK tariff),42 (pre-prog),"Stein et al., 2014, Int J Colorectal Dis",Real-world 2L mCRC patients; utility while on treatment (mostly ECOG 0-2). PFS here ~0.74.,,PFS-like,pre-progression (on 2nd-line treatment),0.741
Stein2014,UK & Netherlands,mCRC Post-progression (post 2L failure),0.731,SD = 0.292,EQ-5D-3L (UK tariff),33 (post-prog),"Stein et al., 2014, Int J Colorectal Dis",Same cohort after progression or on 3L/BSC. Utility ~0.73 (only slightly lower than pre-progression).,,PD-like,post-progression (post 2l failure),0.731
Stein2014,UK & Netherlands,mCRC Pre-progression (on 2nd-line),0.741,SD = 0.230,EQ-5D-3L (UK tariff),42,"Stein et al., 2014, Int J Colorectal Dis",Real-world 2L mCRC patients. Pre-progression utility ~0.[3]74.,"Stein2014
Citation: Stein et al., 2014, International Journal of Colorectal Disease, ""Assessing health-state utility values in patients with metastatic colorectal cancer: a utility study in the United Kingdom and the Netherlands"".
URL: https://doi.org/10.1007/s00384-014-1980-1",PFS-like,pre-progression (on 2nd-line),0.741
Stein2014,UK/Netherlands,Pre-progression (2L mCRC),0.741,SD: 0.230,EQ-5D-3L (UK TTO),42,"Active treatment, ECOG 0-2",,,PFS-like,pre-progression (2l ),0.741
Stein2014,UK/Netherlands,Post-progression (3L+/BSC),0.731,SD: 0.292,EQ-5D-3L (UK TTO),33,Surprisingly similar to pre-progression,,,PD-like,post-progression (3l+/bsc),0.731
Stein2014_post,UK,"mCRC, post-progression (post 2L failure)",0.731,SD = 0.292,EQ-5D-3L (UK tariff),33,"Stein et al., 2014, Int J Colorectal Dis",Same cohort after progression: mean utility ?0.731.,https://doi.org/10.1007/s00384-014-1980-1,PD-like,", post-progression (post 2l failure)",0.731
Stein2014_pre,UK,"mCRC, pre-progression (on 2L therapy)",0.741,SD = 0.230,EQ-5D-3L (UK tariff),42,"Stein et al., 2014, Int J Colorectal Dis",Real-world 2nd-line mCRC (ECOG 02) patients: mean utility ?0.741 pre-progression.,https://doi.org/10.1007/s00384-014-1980-1,PFS-like,", pre-progression (on 2l therapy)",0.741
SUNLIGHT trial,Global,PFS,0.758,,EQ-5D-5L,~246,Prager et al. 2023; NEJM 388:1657-67,Mean utility approximated as midpoint of reported range 0.7370.779. ,,,pfs,0.758
SUNLIGHT trial,Global,Post-progression,0.68,,EQ-5D-5L,,Used in NICE TA1008,Mean utility approximated as midpoint of reported range 0.6590.702. ,,PD-like,post-progression,0.68
Tabernero2014,Spain,mCRC Baseline (1st/2nd Line),0.77,95% CI [0.750.79],EQ-5D-3L,523,"Tabernero et al., 2014, Gastrointest Cancer Res",Bevacizumab trial (included Spanish centers). Utility index stable at 0.77. Widely cited in Spanish economic evaluations.,"Tabernero2014
Citation: Tabernero et al., 2014, Gastrointestinal Cancer Research, ""Analysis of overall survival and safety from the ML18147 trial"" (often used as the source for 2L/3L Bevacizumab utilities in Spanish models).
URL: https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3966160/ (PubMed Central Link)",,baseline (1st/2nd line),0.77
TALLISUR2024,Germany,"Refractory mCRC (on trifluridine/tipiracil, 3L+)",0.77,not reported (baseline EQ-5D-5L),EQ-5D-5L (German tariff),195,"Karthaus M, et al. Subgroup analyses from patients with pre-treated metastatic colorectal cancer receiving trifluridine/tipiracil: results of the TALLISUR trial. BMC Cancer. 2024;24:870.",German phase IV trial of trifluridine/tipiracil in refractory mCRC. Post-authorization surveillance data; QoL assessed with EORTC QLQ-C30 and EQ-5D-5L. On-treatment refractory state. 186 patients received FTD/TPI.,https://pmc.ncbi.nlm.nih.gov/articles/PMC11267741/,PD-like,"refractory (on trifluridine/tipiracil, 3l+)",0.77
Doyle et al. (2014),UK/Netherlands; 2nd line mCRC,PFS / Stable,0.74,not reported (baseline EQ-5D-3L),EQ-5D-3L,,,,,,pfs / stable,0.74
Doyle et al. (2014),UK/Netherlands; 2nd line mCRC,PD / Progressed,0.73,not reported (baseline EQ-5D-3L),EQ-5D-3L,,,,,PD-like,pd / progressed,0.73
NICE TA866 (2023) - SUNLIGHT trial,UK,PFS / Stable,0.76,,EQ-5D (not specified),,,,,,pfs / stable,0.76
NICE TA866 (2023) - SUNLIGHT trial,UK,PD / Progressed,0.68,,EQ-5D (not specified),,,,,PD-like,pd / progressed,0.68
Best2010,US,"Metastatic, stable",0.4,,TTO (direct valuation),CRC patients (n not specified),"Best JH, et al. Preference values associated with stage III colon cancer and adjuvant chemotherapy. Qual Life Res. 2010;19(3):391-400.",CRC patients valued metastatic stable at 0.40; community members valued same at 0.51,,,"metastatic, stable",0.4
Best2010,US,"Metastatic, progressive",0.37,,TTO (direct valuation),CRC patients (n not specified),"Best JH, et al. Preference values associated with stage III colon cancer and adjuvant chemotherapy. Qual Life Res. 2010;19(3):391-400.",CRC patients valued metastatic progressive at 0.37; community members valued same at 0.21,,,"metastatic, progressive",0.37
Petrou1997,UK,Stable disease,0.95,,SG (standard gamble),~30 proxy respondents (carers),"Petrou S, Campbell N. Stabilisation in colorectal cancer. Int J Palliat Nurs. 1997;3(5):275.",Proxy respondents (carers) due to difficulty eliciting from terminally ill patients,,,stable disease,0.95
Petrou1997,UK,Progressive disease,0.575,,SG (standard gamble),~30 proxy respondents (carers),"Petrou S, Campbell N. Stabilisation in colorectal cancer. Int J Palliat Nurs. 1997;3(5):275.",Proxy respondents (carers),,,progressive disease,0.575
Ramsey2000,US,"CRC survivors (overall, 2-3 years post-dx)",0.85,SD not reported in abstract,HUI Mark III,173,"Ramsey SD, Andersen MR, Etzioni R, et al. Quality of life in survivors of colorectal carcinoma. Cancer. 2000;88(6):1294-1303.",SURVIVOR cohort 2-3 years post-diagnosis. Average utility 0.85 for survivors vs 0.65 for those who had not achieved remission. NOT metastatic-specific; mixed stages.,,PFS-like,"crc survivors (overall, 2-3 years post-dx)",0.85
Ramsey2000,US,CRC patients not in remission,0.65,SD not reported in abstract,HUI Mark III,173 total cohort,"Ramsey SD, Andersen MR, Etzioni R, et al. Quality of life in survivors of colorectal carcinoma. Cancer. 2000;88(6):1294-1303.","Patients who had NOT achieved remission. Often used as progressed/post-progression utility in mCRC models, though original study was survivors, not active metastatic disease.",,,crc patients not in remission,0.65
Farkkila2013,Finland,Metastatic disease,0.82,95% CI ≈ [0.78–0.86],EQ-5D (UK tariff),Not specified,"Färkkilä et al., 2013, Colorectal Dis.",CRC patients with metastatic disease,,,metastatic disease,0.82
Farkkila2013,Finland,Palliative care,0.643,95% CI ≈ [0.55–0.73],EQ-5D (UK tariff),Not specified,"Färkkilä et al., 2013, Colorectal Dis.",Likely represents more advanced/progressed state,,PD-like,palliative care,0.643
Stein2014,UK/Netherlands,"Second-line mCRC, pre-progression",0.741,SD = 0.230,EQ-5D-3L,42,"Stein D, Joulain F, Naoshy S, et al. Assessing health-state utility values in patients with metastatic colorectal cancer: a utility study in the United Kingdom and the Netherlands. Int J Colorectal Dis. 2014;29(10):1203-10.",Real-world study of second-line mCRC patients; pre-progression = second or third line following AE on second line,,PFS-like,"second-line , pre-progression",0.741
Stein2014,UK/Netherlands,"Second-line mCRC, post-progression",0.731,SD = 0.292,EQ-5D-3L,33,"Stein D, Joulain F, Naoshy S, et al. Assessing health-state utility values in patients with metastatic colorectal cancer: a utility study in the United Kingdom and the Netherlands. Int J Colorectal Dis. 2014;29(10):1203-10.",Real-world study; post-progression = third or subsequent therapy lines or BSC. Similar utilities pre/post in this study.,,PD-like,"second-line , post-progression",0.731
Bennett2011,Multinational trial,First-line mCRC (Panitumumab + FOLFOX4),0.778,,EQ-5D,Trial patients (n not specified),"Bennett L, et al. Health-related quality of life in patients with metastatic colorectal cancer treated with panitumumab in first- or second-line treatment. Br J Cancer. 2011.",Trial-based first-line mCRC with targeted therapy,,,first-line (panitumumab + folfox4),0.778
Bennett2011,Multinational trial,First-line mCRC (FOLFOX4 alone),0.756,,EQ-5D,Trial patients (n not specified),"Bennett L, et al. Health-related quality of life in patients with metastatic colorectal cancer treated with panitumumab in first- or second-line treatment. Br J Cancer. 2011.",Trial-based first-line mCRC,,,first-line (folfox4 alone),0.756
Bennett2011,Multinational trial,Second-line mCRC (Panitumumab + FOLFIRI),0.769,,EQ-5D,Trial patients (n not specified),"Bennett L, et al. Health-related quality of life in patients with metastatic colorectal cancer treated with panitumumab in first- or second-line treatment. Br J Cancer. 2011.",Trial-based second-line mCRC with targeted therapy,,,second-line (panitumumab + folfiri),0.769
Bennett2011,Multinational trial,Second-line mCRC (FOLFIRI alone),0.762,,EQ-5D,Trial patients (n not specified),"Bennett L, et al. Health-related quality of life in patients with metastatic colorectal cancer treated with panitumumab in first- or second-line treatment. Br J Cancer. 2011.",Trial-based second-line mCRC,,,second-line (folfiri alone),0.762
Borchert2020,Germany,Advanced/metastatic CRC (palliative treatment),0.82,SD = 0.23,EQ-5D-5L (German value set),433,"Borchert K, Jacob C, Wetzel N, et al. Application study of the EQ-5D-5L in oncology: linking self-reported quality of life of patients with advanced or metastatic colorectal cancer to clinical data from a German tumor registry. Health Econ Rev. 2020;10:40.","Cross-sectional; patients at various stages of palliative treatment (first-line 55%, break after first 23%, second-line 16%, third+ 5%)",,PD-like,advanced/metastatic crc (palliative treatment),0.82
Ramsey2000,US,Progressed / died within 12 months,0.65,,HUI3,312,"Ramsey SD, Andersen MR, et al. Quality of life in survivors of colorectal carcinoma. Cancer. 2000;88(6):1294-303.","PD-like: Advanced, poor prognosis.",,PD-like,progressed / died within 12 months,0.65
